#      wavelength (Angstrom)  Normalized Flux (Dimensionless)
       4431.1632      1.05094
       4431.1928      1.03188
       4431.2223      1.01237
       4431.2519      1.02925
       4431.2815      1.05098
       4431.3110      1.01991
       4431.3406     0.952686
       4431.3702     0.944277
       4431.3997      1.01615
       4431.4293      1.00218
       4431.4588      1.02625
       4431.4884     0.998776
       4431.5180     0.986721
       4431.5475     0.969209
       4431.5771     0.944483
       4431.6067     0.957019
       4431.6362     0.948479
       4431.6658     0.974222
       4431.6954     0.974894
       4431.7249      1.00431
       4431.7545      1.01791
       4431.7841     0.981304
       4431.8136     0.959016
       4431.8432     0.995454
       4431.8728      1.04365
       4431.9023      1.05795
       4431.9319      1.06633
       4431.9615      1.07873
       4431.9910      1.07624
       4432.0206      1.10735
       4432.0502      1.05772
       4432.0797      1.03670
       4432.1093      1.04501
       4432.1389      1.03424
       4432.1684      1.01598
       4432.1980      1.01890
       4432.2276      1.02533
       4432.2571      1.02801
       4432.2867      1.03175
       4432.3163      1.06066
       4432.3458      1.05486
       4432.3754      1.01077
       4432.4050     0.953221
       4432.4345     0.918713
       4432.4641     0.940064
       4432.4937     0.970387
       4432.5233     0.967658
       4432.5528     0.961148
       4432.5824     0.957352
       4432.6120     0.932571
       4432.6415     0.917887
       4432.6711     0.945285
       4432.7007     0.997405
       4432.7303      1.02052
       4432.7598      1.01366
       4432.7894      1.00580
       4432.8190      1.01246
       4432.8485     0.987552
       4432.8781      1.00685
       4432.9077     0.953381
       4432.9373     0.976793
       4432.9668     0.997768
       4432.9964     0.985763
       4433.0260     0.975403
       4433.0556     0.962692
       4433.0851     0.945255
       4433.1147     0.958803
       4433.1443     0.991539
       4433.1739     0.996427
       4433.2034     0.981806
       4433.2330     0.979821
       4433.2626     0.987655
       4433.2922     0.996751
       4433.3217     0.998657
       4433.3513     0.982705
       4433.3809     0.977386
       4433.4105     0.966397
       4433.4400     0.993068
       4433.4696      1.00889
       4433.4992     0.973136
       4433.5288     0.969042
       4433.5584     0.984250
       4433.5879     0.970737
       4433.6175     0.977704
       4433.6471     0.999014
       4433.6767     0.993865
       4433.7062     0.956280
       4433.7358     0.969255
       4433.7654      1.04712
       4433.7950      1.05964
       4433.8246      1.04424
       4433.8541      1.03311
       4433.8837     0.999116
       4433.9133     0.960394
       4433.9429     0.937988
       4433.9725     0.924620
       4434.0020     0.925633
       4434.0316     0.935084
       4434.0612     0.929970
       4434.0908     0.893149
       4434.1204     0.871938
       4434.1499     0.924440
       4434.1795     0.922551
       4434.2091     0.896699
       4434.2387     0.880695
       4434.2683     0.895996
       4434.2979     0.880757
       4434.3274     0.888254
       4434.3570     0.872755
       4434.3866     0.851124
       4434.4162     0.892337
       4434.4458     0.926290
       4434.4754     0.908764
       4434.5049     0.889283
       4434.5345     0.887159
       4434.5641     0.890185
       4434.5937     0.905780
       4434.6233     0.927399
       4434.6529     0.925851
       4434.6824     0.902900
       4434.7120     0.891994
       4434.7416     0.905535
       4434.7712     0.917270
       4434.8008     0.911418
       4434.8304     0.936883
       4434.8600     0.893468
       4434.8895     0.844665
       4434.9191     0.894712
       4434.9487     0.844561
       4434.9783     0.866396
       4435.0079     0.832427
       4435.0375     0.818596
       4435.0671     0.876283
       4435.0967     0.893576
       4435.1262     0.890910
       4435.1558     0.877183
       4435.1854     0.883268
       4435.2150     0.876481
       4435.2446     0.866808
       4435.2742     0.887846
       4435.3038     0.911277
       4435.3334     0.910812
       4435.3629     0.899091
       4435.3925     0.883968
       4435.4221     0.883055
       4435.4517     0.900054
       4435.4813     0.900623
       4435.5109     0.926496
       4435.5405     0.980882
       4435.5701     0.988998
       4435.5997      1.01160
       4435.6293      1.01293
       4435.6589     0.988577
       4435.6884     0.956113
       4435.7180     0.977660
       4435.7476     0.993721
       4435.7772     0.957013
       4435.8068     0.964743
       4435.8364     0.967406
       4435.8660     0.982028
       4435.8956      1.02166
       4435.9252      1.02104
       4435.9548      1.00806
       4435.9844      1.01895
       4436.0140      1.04073
       4436.0436      1.05436
       4436.0732      1.03915
       4436.1027      1.00745
       4436.1323      1.00008
       4436.1619     0.997092
       4436.1915     0.972647
       4436.2211     0.958463
       4436.2507     0.950458
       4436.2803     0.982087
       4436.3099      1.02836
       4436.3395     0.969142
       4436.3691     0.952331
       4436.3987     0.975362
       4436.4283     0.995845
       4436.4579     0.996842
       4436.4875     0.991892
       4436.5171     0.994069
       4436.5467      1.00043
       4436.5763      1.01317
       4436.6059      1.00213
       4436.6355      1.00420
       4436.6651     0.982013
       4436.6947     0.932336
       4436.7243     0.924546
       4436.7539     0.969520
       4436.7835      1.00518
       4436.8131      1.00289
       4436.8427     0.998002
       4436.8723     0.994622
       4436.9019     0.979758
       4436.9315     0.963183
       4436.9611     0.972774
